Month,Product,Category,Units_Sold,Unit_Price,Revenue,Discount_Rate,Net_Revenue,Customer_Rating,Returns
2023-02,Keyboard,Mobile,142,19006.87784081339,2706579.404531827,0.06406616829393845,2533179.2329001836,4.72702214888374,6
2023-02,Mouse,Audio,148,39301.56773735967,5848073.27931912,0.10386540493354054,5240660.78008162,3.9041185006977823,2
2023-02,Printer,Audio,133,18282.37334627255,2442525.0790620125,0.08371530030260117,2238048.358571701,4.105754256587061,1
2023-02,Router,Mobile,80,20503.208964249494,1656659.2843113593,0.10444564092596825,1483628.4435655037,4.568405884886663,1
2023-02,USB Hub,Accessories,104,22075.700127747514,2295872.8132857415,0.14649224337489794,1959545.254364075,4.1165555199773465,1
2023-02,Webcam,Accessories,142,19925.38936269082,2837375.445247173,0.021734230813683465,2775707.272415093,4.2341791404163445,7
2023-02,Microphone,Accessories,93,7387.412780284504,691461.8362346296,0.055448168409210664,653121.5438905498,3.8632399074161388,3
2023-03,Laptop,Computers,165,78690.4281306926,12983920.641564278,0.05982366636668296,12207174.90497185,4.724647809829076,6
2023-03,Smartphone,Computers,173,41147.703362516775,7118552.681715402,0.10437192101863228,6375575.663452429,4.78753820722058,3
2023-03,Tablet,Accessories,196,57180.81306260341,11207439.36027027,0.1214251569209573,9846574.277267339,4.022998980937594,2
2023-03,Camera,Computers,177,41902.35669167093,7416717.134425755,0.1256565158860992,6484758.300001081,4.513535175558921,6
2023-03,Headphones,Mobile,91,21377.388589497292,1945342.3616442536,0.09899760690512685,1752758.1232303048,4.725833300301824,2
2023-03,Smartwatch,Accessories,162,20106.33098113568,3257225.6189439804,0.013965415170884881,3211737.1108701853,4.84582363692999,7
2023-03,Speaker,Audio,58,23030.836854782367,1335788.5375773772,0.1050536744959157,1195459.043355348,4.769991713357459,2
2023-03,Monitor,Mobile,169,71133.83780211583,12021618.588557575,0.1276392673151269,10487187.999972176,4.9034524913314215,6
2023-03,Keyboard,Accessories,133,46874.24309347992,6234274.33143283,0.055842414984261464,5886137.3970912285,4.9102001636866675,6
2023-03,Mouse,Mobile,177,25123.744967207083,4446902.859195653,0.07284206303793399,4122981.280802555,4.172636214479371,8
2023-03,Printer,Accessories,117,19742.677912247207,2309893.3157329233,0.04880995472389016,2197147.527574983,4.619737107677036,4
2023-03,Router,Audio,194,25336.80255633875,4915339.695929717,0.0813810345832349,4515324.266146914,4.2632211152581405,6
2023-03,USB Hub,Mobile,87,78332.53580372571,6814930.614924137,0.07301132294391827,6317363.5149575155,4.859148181577831,2
2023-03,Webcam,Computers,79,51963.16560041462,4105090.0824327553,0.10033860894946495,3693191.0539492085,4.796251347607854,1
2023-03,Microphone,Accessories,196,46188.33173752546,9052913.020554991,0.11528310214594634,8009265.124087982,3.5654056576316506,9
2023-04,Laptop,Mobile,95,73274.28682741543,6961057.248604466,0.05552380503831666,6574552.863072391,3.523184924793301,4
2023-04,Smartphone,Computers,95,77365.7307044499,7349744.416922741,0.14454299656338793,6287390.334925697,4.77951418320104,2
2023-04,Tablet,Computers,116,14389.926988201307,1669231.5306313515,0.08352018936875252,1529816.9970927285,4.904232161241172,4
2023-04,Camera,Accessories,73,17504.578691613453,1277834.244487782,0.10067152752360758,1149192.7191732218,4.037970171944246,1
2023-04,Headphones,Mobile,179,26481.51037484944,4740190.3570980495,0.12730046923870117,4136761.900358701,3.704931997163043,6
2023-04,Smartwatch,Audio,75,64998.95817965528,4874921.863474146,0.13006084778701554,4240885.393015241,4.869860828834707,2
2023-04,Speaker,Computers,85,64065.319138375235,5445552.126761895,0.09749458961666477,4914640.256927088,4.552950315886555,3
2023-04,Monitor,Accessories,164,27701.617391271328,4543065.252168498,0.0563374428959916,4287120.572951691,3.6409729097613033,5
2023-04,Keyboard,Mobile,100,37782.243432464355,3778224.3432464353,0.08139669520613649,3470689.3679588,3.9298118781924267,3
2023-04,Mouse,Mobile,98,3950.506911187939,387149.677296418,0.12339008409894874,339379.24605593213,4.0402859621168945,1
2023-04,Printer,Computers,57,61829.49069479026,3524280.9696030444,0.032373154124526474,3410188.8785959496,4.4343357137285,0
2023-04,Router,Computers,165,33496.95849947761,5526998.152413805,0.10492683161507907,4947067.747938628,3.707529638626702,2
2023-04,USB Hub,Mobile,173,57453.01323021622,9939371.288827406,0.0061601275151813685,9878143.494267497,4.098231352167192,4
2023-04,Webcam,Mobile,139,3002.7087298211436,417376.513445139,0.14439726220168875,357108.4875963746,4.753970180768309,5
2023-04,Microphone,Computers,178,14690.251285596816,2614864.7288362333,0.023465556400662908,2553505.4730616226,3.875364347246893,5
2023-05,Laptop,Accessories,138,53155.59276070077,7335471.800976706,0.041990084541891425,7027454.719899033,4.932297920994792,5
2023-05,Smartphone,Audio,118,49325.938952513825,5820460.796396632,0.06294000936416848,5454120.939367653,3.8715964842517363,2
2023-05,Tablet,Computers,135,2137.0856017507135,288506.5562363463,0.017410896076037435,283483.39856845984,3.569003963032629,1
2023-05,Camera,Mobile,193,8728.898691429116,1684677.4474458194,0.07374238126752485,1560445.3208034693,4.210207656170849,3
2023-05,Headphones,Mobile,150,32481.874017392503,4872281.102608875,0.09237751470783247,4422191.88339193,4.4526404763014655,1
2023-05,Smartwatch,Audio,187,50442.93334142467,9432828.534846414,0.07547043878701315,8720928.826318897,4.784734761782484,6
2023-05,Speaker,Accessories,65,6574.931044633958,427370.51790120726,0.09636289173094734,386187.8589556943,3.539766965812433,2
2023-05,Monitor,Audio,133,46462.46005219444,6179507.18694186,0.058225488930978286,5819702.359629676,4.464932327663529,3
2023-05,Keyboard,Audio,150,50449.23393802425,7567385.090703637,0.12306402656569021,6636112.210868477,4.4772271577866825,2
2023-05,Mouse,Computers,190,17952.540456961557,3410982.6868226957,0.056588862484196374,3217959.0566221117,3.5584446984653506,6
2023-05,Printer,Audio,130,52802.08819507863,6864271.465360221,0.05780949314483475,6467451.411139195,4.522420503459185,3
2023-05,Router,Audio,154,40186.958889179085,6188791.668933579,0.1039335538037909,5545568.5570300175,4.022504906679796,7
2023-05,USB Hub,Accessories,70,77438.86357009955,5420720.4499069685,0.0821957824872131,4975160.090882428,4.1352064134621775,2
2023-05,Webcam,Audio,148,33596.796476002695,4972325.878448399,0.05580271286891748,4694856.605162655,4.664619441112995,3
2023-05,Microphone,Mobile,86,19849.151923436875,1707027.0654155712,0.10197671698503687,1532950.0494798895,4.609863140671061,1
2023-06,Laptop,Mobile,66,43211.87040891451,2851983.4469883577,0.07448417860246165,2639555.8025516127,4.084427129328805,1
2023-06,Smartphone,Audio,149,1856.1744669435705,276569.995574592,0.13580729646288955,239009.7721928533,3.6369300151792006,3
2023-06,Tablet,Mobile,177,39119.155021768755,6924090.438853069,0.07395384866577075,6412027.302390019,3.6249266167928895,2
2023-06,Camera,Accessories,74,44742.54113531826,3310948.044013551,0.03190918425363434,3205298.3928229124,4.919291814322536,3
2023-06,Headphones,Audio,158,74543.39934929612,11777857.097188786,0.1461372312801615,10056673.670592217,4.993896863045494,1
2023-06,Smartwatch,Audio,124,10248.294297780863,1270788.4929248272,0.021448752307925378,1243531.6653043206,4.642265947576208,4
2023-06,Speaker,Computers,56,34661.22652870835,1941028.6856076675,0.033386462635654576,1876224.6039208935,4.094977402931378,2
2023-06,Monitor,Mobile,54,41552.76732669904,2243849.435641748,0.03498421086367917,2165350.133838909,4.371958125840173,2
2023-06,Keyboard,Mobile,194,75832.63761332484,14711531.69698502,0.14790015957343064,12535693.811431352,4.630067277888412,4
2023-06,Mouse,Audio,68,62394.606358267505,4242833.23236219,0.08376063746037075,3887450.816181488,4.136333013870464,3
2023-06,Printer,Audio,175,39917.383238977876,6985542.066821128,0.0017030467151128604,6973645.362350945,4.20299096299119,2
2023-06,Router,Accessories,110,66000.43779825876,7260048.157808464,0.11163174854149469,6449596.287456848,4.521559140645364,2
2023-06,USB Hub,Computers,162,7548.414413774984,1222843.1350315474,0.07925551819458138,1125926.0686939356,4.154503747409834,6
2023-06,Webcam,Computers,110,26492.22467392911,2914144.7141322023,0.006510117494725914,2895173.2896465673,4.8869649953353935,5
2023-06,Microphone,Accessories,196,77574.90031390882,15204680.461526128,0.07846467662552233,14011650.125918081,4.444097957202894,7
2023-07,Laptop,Audio,60,50577.08832664101,3034625.2995984606,0.08764714678846504,2768649.0505165644,4.851737015736483,0
2023-07,Smartphone,Accessories,147,76082.50724204814,11229778.068926306,0.13353956758363744,9730158.361541672,4.183485129178569,5
2023-07,Tablet,Accessories,205,15861.571618177144,3254794.49604995,0.06955476074099733,3028408.0436160807,4.0300283420390794,6
2023-07,Camera,Accessories,180,77977.18980562715,14035894.165012887,0.14793161167194044,11959541.719925744,4.547242571029617,5
2023-07,Headphones,Computers,228,72963.24757501355,16635620.447103089,0.12338058643847534,14583107.840571618,4.924699869937886,8
2023-07,Smartwatch,Audio,70,74685.55018496705,5287736.953095667,0.12990958342506126,4600809.248257707,3.567828005159284,0
2023-07,Speaker,Computers,200,65033.7131317648,13032756.111605667,0.14809141939724166,11102716.760379907,3.725625336655292,6
2023-07,Monitor,Audio,162,66503.97343581464,10773643.696601972,0.08536222037486214,9853981.54913239,3.595267744385002,1
2023-07,Keyboard,Audio,213,2080.0852213327853,444306.20327668294,0.011303859052869347,439283.8285785278,4.537571595753368,6
2023-07,Mouse,Computers,181,73140.09442835378,13252985.110417705,0.08777242984882079,12089738.4045261,4.589181266107772,7
2023-07,Printer,Audio,232,20045.701754040914,4666639.368340724,0.030756799275978734,4523108.477995289,3.8771636592676977,4
2023-07,Router,Accessories,194,60802.931441606066,11820089.87224822,0.007034470168682988,11736941.802650737,3.903008723037961,2
2023-07,USB Hub,Mobile,200,66678.3477149376,13362340.882073496,0.04616658596565741,12745447.223038832,4.7245786028195935,9
2023-07,Webcam,Mobile,127,47606.51587387325,6055548.8191566765,0.07200689505277126,5619507.550848729,4.130803667997613,5
2023-07,Microphone,Mobile,138,64598.52873402959,8914596.965296084,0.13547265880149392,7706912.812263695,4.425895568145938,6
2023-08,Laptop,Mobile,176,51294.90140816032,9048420.60839948,0.08322234128133385,8295389.860470205,3.6365031365769953,6
2023-08,Smartphone,Computers,153,32326.879803380343,4965408.737799221,0.09331300503418102,4502071.527252195,4.793545563120118,7
2023-08,Tablet,Accessories,224,74200.42238775805,16650574.783812907,0.07381744396193073,15421471.91277486,3.8873665824484376,6
2023-08,Camera,Mobile,66,39916.8294254367,2634510.742078822,0.04931274154312623,2504595.794762099,4.450101281475089,1
2023-08,Headphones,Audio,192,11181.49803094129,2146847.6219407273,0.019206875843665865,2105613.3862108425,3.7278540402684417,2
2023-08,Smartwatch,Accessories,217,15368.526667532442,3338043.992188046,0.05185009249857948,3164966.1024287683,4.845182614859018,6
2023-08,Speaker,Computers,132,16190.832485884992,2137189.888136819,0.00613029243997183,2124088.2891227896,3.753402594608247,2
2023-08,Monitor,Computers,85,8007.500166807394,682239.0142119899,0.01809538066509012,669893.6395452481,4.191168152049089,1
2023-08,Keyboard,Mobile,152,27077.86155150228,4126666.1004489474,0.04823741470200435,3927606.396424888,3.638435879343119,4
2023-08,Mouse,Mobile,126,70012.7113044354,8821601.62435886,0.13813086007977196,7603066.204705059,3.5916169397822957,2
2023-08,Printer,Computers,68,60112.51554030901,4111696.062957136,0.0276781529034566,3997891.910634068,3.8140239850050657,1
2023-08,Router,Mobile,75,49842.126950893384,3768064.7974875397,0.05533704593546586,3559551.22270116,4.193802074199722,3
2023-08,USB Hub,Mobile,126,11516.237358410783,1451045.9071597587,0.10307482581049966,1301479.603036228,4.766661008950443,5
2023-08,Webcam,Accessories,80,36345.576979052916,2922184.389115854,0.07989258996825348,2688723.50990459,3.8637057554520946,1
2023-08,Microphone,Computers,92,2585.624624440383,238911.71529829135,0.04831187483747674,227369.44241159342,3.817172010494817,2
2023-09,Laptop,Accessories,74,71351.6551784517,5280022.4832054265,0.0890388680331073,4809895.258111459,4.518653478716734,3
2023-09,Smartphone,Computers,195,7866.702758906472,1534007.0379867621,0.08056598127278217,1410418.2556920047,4.380261677031319,7
2023-09,Tablet,Computers,132,30923.03745015186,4081840.9434200455,0.05061702508078771,3875230.298011167,4.849471095717519,4
2023-09,Camera,Audio,108,78934.7046546454,8524948.102701703,0.09086622290353306,7750318.268160558,3.8558401876039916,1
2023-09,Headphones,Mobile,119,20430.660542376143,2431248.604542761,0.02410220598893335,2372650.1498657647,3.7798505360769585,2
2023-09,Smartwatch,Audio,104,67542.80878855634,7024452.11400986,0.007745321681176925,6970045.47275283,3.5273637221425416,3
2023-09,Speaker,Accessories,55,32430.59232461359,1783682.5778537474,0.14542056499130532,1524298.4496171076,4.798260688840971,2
2023-09,Monitor,Computers,143,14500.1194038152,2073517.0747455738,0.10029648298866464,1865550.6047316487,4.894063983691378,4
2023-09,Keyboard,Accessories,75,23118.34839916245,1733876.1299371836,0.11542393997879052,1533745.3155846565,3.780565622836285,1
2023-09,Mouse,Audio,69,20150.36886079134,1390375.4513946024,0.01722552371088053,1366425.5060895786,4.415930063662449,1
2023-09,Printer,Computers,175,13194.654506661982,2309064.538665847,0.07217101527822262,2142417.006567392,4.298884148827379,2
2023-09,Router,Mobile,59,44339.6463171141,2616039.132709732,0.08233829698334659,2400638.9256806215,3.8025956934953538,2
2023-09,USB Hub,Accessories,114,11967.157101919609,1364255.9096188354,0.00040663491214945055,1363701.1555368782,3.675044096212522,3
2023-09,Webcam,Mobile,143,9429.240758961449,1348381.4285314872,0.1276091190024682,1176315.6623572947,4.618961788323077,3
2023-09,Microphone,Computers,169,79283.42864013386,13398899.440182623,0.030750271507985587,12986879.644488811,4.0688428774457,7
2023-10,Laptop,Accessories,199,4799.476873162927,955095.8977594225,0.11722717226271223,843132.7064253689,4.7419113307662375,7
2023-10,Smartphone,Accessories,79,66185.48145873098,5228653.035239748,0.027960748018221616,5082455.985246699,3.8535376190974997,2
2023-10,Tablet,Mobile,181,25979.530001423074,4702294.9302575765,0.0882460013692585,4287336.205403409,4.524473095125699,5
2023-10,Camera,Accessories,63,72073.72817808167,4540644.875219145,0.09361523162727564,4115571.353488303,4.30967159287195,1
2023-10,Headphones,Computers,194,72066.39128869091,13980879.910006037,0.05758368320598171,13175809.350327374,4.315329291670983,8
2023-10,Smartwatch,Audio,88,10234.94521596076,900675.179004547,0.14097481854202126,773702.6590790785,4.4415620796071265,2
2023-10,Speaker,Accessories,64,70411.70011450163,4506348.807328104,0.07431354396059485,4171466.057132953,4.6121913667085686,2
2023-10,Monitor,Computers,87,60439.84648306699,5258266.644026828,0.10604706918651885,4700642.877426551,4.667857908576126,1
2023-10,Keyboard,Accessories,135,57411.06249566552,7750493.436914845,0.07409722306962939,7176203.395820067,4.6319529377901745,1
2023-10,Mouse,Computers,96,67869.73104702694,6515494.180514587,0.01912329934979736,6390896.434888744,4.095930935840551,4
2023-10,Printer,Computers,96,33307.45898975397,3197516.063016381,0.11578229708973675,2827300.308259013,3.5183046084770666,3
2023-10,Router,Accessories,85,57578.14690390322,4894142.486831774,0.08985440471659897,4454382.227079289,4.7401982417136175,4
2023-10,USB Hub,Accessories,87,18960.727659368975,1649583.306365101,0.06353952936307243,1544769.5594334814,3.9318944247135894,3
2023-10,Webcam,Mobile,190,11990.179337301888,2278134.0740873585,0.015119190452382974,2243690.5311451685,3.884023297780493,7
2023-10,Microphone,Audio,149,73581.29125859897,10963612.397531247,0.118512695568613,9664285.139130356,3.5345339071814563,5
2023-11,Laptop,Computers,197,30580.394207913338,6036569.816642093,0.010338230905082818,5974162.364002993,3.615981598233181,2
2023-11,Smartphone,Computers,84,36616.31034092644,3075770.068637821,0.016985706876113286,3023525.939833616,4.977261798443502,3
2023-11,Tablet,Mobile,148,27239.566599740177,4042351.6834014417,0.046716639606846175,3853506.596643849,3.841093431315669,5
2023-11,Camera,Audio,142,27480.58209002617,3924227.1224557366,0.1204280172897017,3451640.230703921,3.5069480345069044,3
2023-11,Headphones,Audio,103,69217.9331084236,7170977.870032685,0.1384440347697727,6178198.760460609,4.19855018347822,3
2023-11,Smartwatch,Audio,92,47378.38970678881,4377763.208907286,0.004927000536515752,4356193.967228261,4.869124194318694,1
2023-11,Speaker,Computers,191,25606.380519487837,4911303.783637767,0.11707435613191314,4336316.055400146,3.9163807589441273,3
2023-11,Monitor,Mobile,137,15064.841382710363,2066896.2377078617,0.14416054762041827,1768931.344205314,3.7229940916296695,3
2023-11,Keyboard,Accessories,156,79753.06589582984,12505280.732466118,0.07532925154968638,11563267.294470731,4.393077525980066,1
2023-11,Mouse,Audio,240,64182.779743867286,15455213.362323241,0.05240804985739995,14645235.76987385,4.202347742662069,8
2023-11,Printer,Computers,110,67088.6202500943,7420001.39966043,0.08811804063511115,6766165.41481257,3.941067018831457,4
2023-11,Router,Mobile,226,32660.281809150754,7407351.91431539,0.08394604969623268,6785533.982398787,3.732860368896069,3
2023-11,USB Hub,Computers,145,75743.12150855699,11028198.491645897,0.05599639744196294,10410659.105838837,3.906117009715331,5
2023-11,Webcam,Accessories,190,78335.58341366093,14915095.08196104,0.12596832891848558,13036265.478826083,4.800490640017285,5
2023-11,Microphone,Computers,162,19254.90893045764,3126997.2103063203,0.10078391153980926,2811846.200077578,3.5295658066315463,2
2023-12,Laptop,Audio,162,71109.37811856673,11548163.006455235,0.08350823771750492,10583796.264911676,4.58121964446576,6
2023-12,Smartphone,Accessories,177,48652.594771981385,8650431.350458289,0.12102752234438789,7603491.076902105,4.943973977832312,8
2023-12,Tablet,Mobile,267,24158.67069062005,6460028.542671801,0.13445037277816796,5591475.296951972,3.519502885266104,3
2023-12,Camera,Audio,187,3096.0441060317576,580817.8742915577,0.027215315263469597,565010.7327320548,4.3745623414545385,5
2023-12,Headphones,Mobile,249,65578.04137733683,16342047.91123234,0.051272602754681394,15504148.580481753,3.889135150146939,6
2023-12,Smartwatch,Audio,235,22177.027625007224,5216036.897401699,0.0936223361773701,4727699.33747959,4.114117478286861,7
2023-12,Speaker,Mobile,142,24262.795003811498,3464727.1265442814,0.1422679960443235,2971807.3414104194,4.645408691239641,2
2023-12,Monitor,Mobile,236,78844.01766709704,18654494.580035158,0.07065981790407215,17336371.389917374,3.773160708232375,6
2023-12,Keyboard,Computers,88,59593.268594064575,5256126.289996495,0.10482687797413566,4705142.980778385,4.103825065395471,1
2023-12,Mouse,Mobile,74,11449.8206789011,849576.6943744615,0.13508584518545785,734810.90856502,4.5368327864144815,2
2023-12,Printer,Mobile,273,42843.272613751404,11696213.423554134,0.12225816426036856,10266255.841592925,4.247136130266509,3
2023-12,Router,Computers,239,57896.003948951366,13860303.345378956,0.015986809519301152,13638721.31591665,3.7100278079906737,4
2023-12,USB Hub,Audio,256,58842.58169826593,15075469.43109573,0.037609599084239664,14508487.06978551,4.4496470950361715,7
2023-12,Webcam,Mobile,271,34082.87146647378,9256907.890294276,0.057470779237424614,8724906.18051,4.278376557924256,3
2023-12,Microphone,Accessories,144,59304.655697683265,8551731.351605926,0.01241980018876897,8445520.55695095,4.404728164199582,2
